"Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","X-Robots-Tag 1"
"https://www.powerworksgarage.com/Icons/engine.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/makes/audi","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/makes/ferrari","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/makes/mercedes","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/logos/ford.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/logos/ferrari.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/Icons/suspension.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/ask-glenn/should-you-buy-used-european-car-dubai","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/ask-glenn/10000km-service-myth","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/logos/lexus.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/logos/mazda.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/logos/astonmartin.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/makes/volkswagen","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/bentley.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/pwg_slide3.jpg","image/jpeg","200","OK","1.1","Indexable","","","",""
"https://www.powerworksgarage.com/ask-glenn/ac-blowing-warm-not-always-gas","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/about","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/ask-glenn/truth-about-lifetime-transmission-fluid","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
"https://www.powerworksgarage.com/makes/porsche","text/html; charset=utf-8","200","OK","1.1","Non-Indexable","Canonicalised","https://powerworksgarage.com/","",""
